	nn	opentime	price	volume	numtrade	minper	maxper	RSI	MA2_1_perc	MA2_2_perc	MA1d30_perc	Lev24hMAX_perc	Lev24hMIN_perc	Lev7dMAX_perc	Lev7dMIN_perc
2915	2915.0	0.5729	0.00046797	18314.0	39.0	-1.39	0.73	0.6232	-0.6232	-0.5637	2.6783	1.7159	-3.1776	6.7568	-3.5814
2916	2916.0	0.5833	0.00046695	24977.0	44.0	-1.22	0.95	0.5678	-0.3298	-0.3179	2.9026	1.9381	-2.9661	6.99	-3.3708
2917	2917.0	0.5938	0.00046514	17943.0	40.0	-0.9	1.35	0.4794	0.1037	0.0304	3.303	2.3348	-2.5885	7.4064	-2.9948
2918	2918.0	0.6042	0.00046609	10720.0	47.0	-1.29	1.14	0.5247	-0.0877	-0.1805	3.0925	2.1262	-2.787	7.1875	-3.1925
2919	2919.0	0.6146	0.0004671	13573.0	64.0	-1.52	0.92	0.571	-0.2478	-0.3767	2.8695	1.9054	-2.9972	6.9557	-3.4018
2920	2920.0	0.625	0.00046876	21520.0	129.0	-1.87	0.56	0.6385	-0.5376	-0.6902	2.5053	1.5445	-3.3407	6.5769	-3.7439
2921	2921.0	0.6354	0.00047025	10351.0	101.0	-2.18	0.04	0.6897	-0.6659	-0.9093	2.1805	1.2228	-3.647	6.2392	-4.0489
2922	2922.0	0.6458	0.00046706	24781.0	70.0	-1.51	0.23	0.5096	0.076	-0.2015	2.8784	1.9141	-2.9889	6.9648	-3.3936
2923	2923.0	0.6562	0.00046695	35444.0	101.0	-1.49	0.0	0.5043	0.0723	-0.1373	2.9026	1.9381	-2.9661	6.99	-3.3708
2924	2924.0	0.6667	0.00046301	20828.0	65.0	-0.65	0.43	0.3516	0.8175	0.7062	3.7782	2.8056	-2.1403	7.9005	-2.5485
2925	2925.0	0.6771	0.0004616	10624.0	32.0	-0.67	0.74	0.3121	1.0296	0.9558	4.0952	3.1196	-1.8414	8.2301	-2.2509
2926	2926.0	0.6875	0.00046251	7760.0	54.0	-0.93	0.54	0.3657	0.734	0.7211	3.8904	2.9167	-2.0346	8.0171	-2.4432
2927	2927.0	0.6979	0.00046148	13743.0	58.0	-0.71	0.76	0.3316	0.8066	0.8752	4.1223	3.1464	-1.8159	8.2582	-2.2254
2928	2928.0	0.7083	0.00046143	45134.0	55.0	-0.79	0.77	0.3298	0.619	0.8602	4.1336	3.1576	-1.8053	8.2699	-2.2149
2929	2929.0	0.7188	0.00046057	12943.0	55.0	-0.6	0.96	0.2984	0.5442	0.9889	4.328	3.3502	-1.6219	8.4721	-2.0323
2930	2930.0	0.7292	0.00046158	11606.0	41.0	-0.82	0.74	0.3795	0.1758	0.6757	4.0998	3.1241	-1.8372	8.2348	-2.2466
2931	2931.0	0.7396	0.00046146	12814.0	43.0	-0.85	0.77	0.3735	0.0531	0.6225	4.1268	3.1509	-1.8116	8.2629	-2.2212
2932	2932.0	0.75	0.00046214	4983.0	38.0	-1.0	0.62	0.4327	-0.1177	0.4312	3.9736	2.9991	-1.9561	8.1036	-2.3651
2933	2933.0	0.7604	0.00046315	14658.0	49.0	-1.22	0.46	0.5125	-0.2936	0.1699	3.7469	2.7745	-2.1699	7.8679	-2.578
2934	2934.0	0.7708	0.00046208	52025.0	141.0	-0.99	0.69	0.4366	-0.0744	0.3294	3.9871	3.0125	-1.9434	8.1176	-2.3524
2935	2935.0	0.7812	0.00046033	7155.0	72.0	-0.97	1.08	0.3404	0.2743	0.5887	4.3824	3.4041	-1.5706	8.5287	-1.9812
2936	2936.0	0.7917	0.00046021	18394.0	45.0	-0.94	1.1	0.3345	0.2673	0.4695	4.4097	3.431	-1.5449	8.557	-1.9556
2937	2937.0	0.8021	0.0004618	26074.0	127.0	-1.28	0.75	0.475	-0.0447	0.0476	4.0502	3.0749	-1.8839	8.1832	-2.2932
2938	2938.0	0.8125	0.00045957	62157.0	77.0	-0.81	1.24	0.353	0.3857	0.4261	4.5551	3.5751	-1.4078	8.7081	-1.8191
2939	2939.0	0.8229	0.00045898	22986.0	47.0	-0.68	1.37	0.3271	0.4472	0.4966	4.6895	3.7082	-1.2811	8.8479	-1.6929
2940	2940.0	0.8333	0.00045956	18088.0	45.0	-0.8	1.24	0.3794	0.2502	0.3402	4.5573	3.5773	-1.4057	8.7105	-1.817
2941	2941.0	0.8438	0.00045907	108471.0	75.0	-0.7	1.35	0.3524	0.2461	0.3973	4.6689	3.6879	-1.3005	8.8265	-1.7122
